id,category,occasionSlug,sourceKey,bucket,reason,shape,extractOk,extractWhy,gate1Hit,entryType,arabicEmpty,translationEmpty,transliterationEmpty,instructionInTranslation,arabicFrameHit,quranNarrativeSubclause
130:258,The excellence of remembering Allah,praise-dhikr,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,'the Messenger of Allah said',
130:259,The excellence of remembering Allah,praise-dhikr,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
130:260,The excellence of remembering Allah,praise-dhikr,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,'the Messenger of Allah said',
130:261,The excellence of remembering Allah,praise-dhikr,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,'the Messenger of Allah said',
130:262,The excellence of remembering Allah,praise-dhikr,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,,
130:263,The excellence of remembering Allah,praise-dhikr,other,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,'he/it was…' — narrative past,
130:264,The excellence of remembering Allah,praise-dhikr,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
130:265,The excellence of remembering Allah,praise-dhikr,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
15:22,What to say upon hearing the Athan (call to prayer),prayer,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,,
15:23,What to say upon hearing the Athan (call to prayer),prayer,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,,
15:25,What to say upon hearing the Athan (call to prayer),prayer,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,,,,
19:46,Invocations during Sujood,prayer,other,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
22:52,Invocation for At-Tashahhud (sitting in prayer),prayer,other,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
24:60,Invocations after the final Tash-ahhud and before ending the prayer,prayer,other,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
26:74,Istikharah (seeking Allah's Counsel),guidance,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,"opens with a reporting verb 'X said', companion honorific — narration apparatus",
27:75,Words of remembrance for morning and evening,morning-evening,other,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,,,,
27:76,Words of remembrance for morning and evening,morning-evening,other,NOT_YET,Arabic-field defect — extractable,prefix-trim,no,no removable prefix found,,,,,,,,
27:77,Words of remembrance for morning and evening,morning-evening,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
28:101,What to say before sleeping,sleep-waking,other,NOT_YET,record holds >1 āyah — anchored,verse-from-bundle,yes,,,,,,,,,
33:119,What to say immediately following the Witr prayer,prayer,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
35:125,Invocations for anguish,distress,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
44:140,What to say and do if you commit a sin,forgiveness,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
45:141,Invocations against the Devil and his promptings,protection,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
45:142,Invocations against the Devil and his promptings,protection,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
45:143,Invocations against the Devil and his promptings,protection,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
47:145,Congratulations for new parents and how they should respond,family-children,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
48:146,How to seek Allah's protection for children,family-children,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,"'The Prophet was…' — narrative past, 'he/it was…' — narrative past, companion honorific — narration apparatus",
51:151,Invocations of the terminal ill,funeral-illness,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
52:153,What to encourage the dying person to say,funeral-illness,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
55:157,Invocations for the dead in the Funeral prayer,funeral-illness,other,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
55:158,Invocations for the dead in the Funeral prayer,funeral-illness,other,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
61:167,Invocations for when the wind blows,weather-nature,other,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
69:178,Invocations before eating,food-drink,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
77:188,Invocation for sneezing,social,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
80:191,The groom’s supplication on the wedding night or when buying an animal,family-children,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,,
82:193,Invocation for anger,protection,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,,,,
84:195,What to say while sitting in an assembly,forgiveness,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
86:197,vocation for someone who says: May Allah forgive you,social,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
87:198,Invocation for someone who does good to you,social,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
88:199,Invocation for Allah's protection from the False Messiah,protection,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
92:203,Invocation for fear of Shirk,protection,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
93:204,Invocation for someone who tells you: May Allah bless you,social,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
94:205,Invocation against evil portent,protection,hisn,NOT_YET,"Gate 2 gap — transliteration missing, needs sourcing",gate2-gap:transliteration,no,no extraction shape applies to this record,,,,,yes,,,
96:207,Invocation for traveling,travel,hisn,NOT_YET,Arabic-field defect — extractable,prefix-trim,yes,,,,,,yes,,,
abudawud:1426,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1481,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,"isnad verb (حدثنا / أخبرنا), 'I heard the Messenger…'",
abudawud:1496,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,"isnad verb (حدثنا / أخبرنا), 'the Messenger of Allah said'",
abudawud:1509,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1511,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1513,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1517,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1541,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1542,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1543,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1544,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1545,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1547,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1548,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1549,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1550,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1551,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1552,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1553,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1555,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
abudawud:1556,Supplications in the Witr Prayer (Kitab al-Witr),prayer,abudawud,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
bukhari:6114,Invocations (Kitab al-Da'awat),general,bukhari,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,"isnad verb (حدثنا / أخبرنا), 'the Messenger of Allah said'",
bukhari:6124,Invocations (Kitab al-Da'awat),general,bukhari,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
bukhari:6131,Invocations (Kitab al-Da'awat),protection,bukhari,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
bukhari:6135,Invocations (Kitab al-Da'awat),general,bukhari,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,"isnad verb (حدثنا / أخبرنا), 'the Messenger of Allah said'",
bukhari:6138,Invocations (Kitab al-Da'awat),protection,bukhari,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
bukhari:6140,Invocations (Kitab al-Da'awat),protection,bukhari,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
bukhari:6153,Invocations (Kitab al-Da'awat),general,bukhari,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3566,Supplication (Kitab al-Du'a),forgiveness,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3568,Supplication (Kitab al-Du'a),guidance,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3569,Supplication (Kitab al-Du'a),protection,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3575,Supplication (Kitab al-Du'a),protection,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3576,Supplication (Kitab al-Du'a),protection,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3581,Supplication (Kitab al-Du'a),forgiveness,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3582,Supplication (Kitab al-Du'a),protection,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3586,Supplication (Kitab al-Du'a),forgiveness,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3587,Supplication (Kitab al-Du'a),general,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,"isnad verb (حدثنا / أخبرنا), 'the Messenger of Allah said'",
ibnmajah:3600,Supplication (Kitab al-Du'a),general,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,"isnad verb (حدثنا / أخبرنا), 'I heard the Messenger…'",
ibnmajah:3604,Supplication (Kitab al-Du'a),morning-evening,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,"isnad verb (حدثنا / أخبرنا), 'the Messenger of Allah said'",
ibnmajah:3607,Supplication (Kitab al-Du'a),protection,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3610,Supplication (Kitab al-Du'a),sleep-waking,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3612,Supplication (Kitab al-Du'a),general,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3613,Supplication (Kitab al-Du'a),general,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3620,Supplication (Kitab al-Du'a),protection,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3624,Supplication (Kitab al-Du'a),travel,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3625,Supplication (Kitab al-Du'a),protection,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
ibnmajah:3626,Supplication (Kitab al-Du'a),weather-nature,ibnmajah,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6649,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),general,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,"isnad verb (حدثنا / أخبرنا), 'the Messenger of Allah said'",
muslim:6670,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),general,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,"isnad verb (حدثنا / أخبرنا), 'the Messenger of Allah said'",
muslim:6675,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),general,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6683,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),forgiveness,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6685,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),protection,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6702,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),forgiveness,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6704,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),protection,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6706,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),protection,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6709,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),protection,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6714,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),general,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6716,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),distress,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6720,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),forgiveness,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6721,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),protection,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6728,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),protection,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6730,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),protection,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6731,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),general,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6733,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),forgiveness,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6735,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),general,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6736,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),guidance,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6738,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),protection,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6743,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),general,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
muslim:6744,Remembrance & Supplication (Kitab al-Dhikr wa'l-Du'a),general,muslim,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
nasai:5454,Seeking Refuge with Allah (Kitab al-Isti'adha),protection,nasai,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
nasai:5461,Seeking Refuge with Allah (Kitab al-Isti'adha),protection,nasai,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
nasai:5464,Seeking Refuge with Allah (Kitab al-Isti'adha),protection,nasai,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
nasai:5467,Seeking Refuge with Allah (Kitab al-Isti'adha),protection,nasai,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
nasai:5469,Seeking Refuge with Allah (Kitab al-Isti'adha),protection,nasai,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
nasai:5471,Seeking Refuge with Allah (Kitab al-Isti'adha),protection,nasai,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
nasai:5474,Seeking Refuge with Allah (Kitab al-Isti'adha),protection,nasai,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
nasai:5476,Seeking Refuge with Allah (Kitab al-Isti'adha),protection,nasai,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
nasai:5480,Seeking Refuge with Allah (Kitab al-Isti'adha),protection,nasai,NOT_YET,isnad in Arabic field — extractable,classb-isnad,yes,,,,,,yes,,isnad verb (حدثنا / أخبرنا),
